Goroka Airport,GKA,AYGA
Jehonville Air Base,\N,EBBX
Brussels South Charleroi Airport,CRL,EBCI
Chièvres Air Base,\N,EBCV
Koksijde Air Base,\N,EBFN
Florennes Air Base,\N,EBFS
Wevelgem Airport,KJK,EBKT
Liège Airport,LGG,EBLG
Ostend-Bruges International Airport,OST,EBOS
Zutendaal Air Base,\N,EBSL
Brustem Airfield Sint Truiden,\N,EBST
Saint Hubert Air Base,\N,EBSU
Ursel Air Base,\N,EBUL
Weelde Air Base,\N,EBWE
Zoersel (Oostmalle) Airfield,OBL,EBZR
Flugplatz Bautzen,\N,EDAB
Altenburg-Nobitz Airport,AOC,EDAC
Dessau Airfield,\N,EDAD
Eisenhüttenstadt Airfield,\N,EDAE
Großenhain Airport,\N,EDAK
Merseburg Airport,\N,EDAM
Halle-Oppin Airport,\N,EDAQ
Riesa-Göhlis Airport,IES,EDAU
Rechlin-Lärz Airport,REB,EDAX
Strausberg Airport,\N,EDAY
Schönhagen Airport,QXH,EDAZ
Barth Airport,BBH,EDBH
Jena-Schöngleina Airfield,\N,EDBJ
Kyritz Airport,\N,EDBK
"Magdeburg ""City"" Airport",ZMG,EDBM
Rothenburg/Görlitz Airport,\N,EDBR
Anklam Airfield,\N,EDCA
Cottbus-Drewitz Airport,CBU,EDCD
Kamenz Airport,\N,EDCM
Berlin-Schönefeld Airport,SXF,EDDB
Dresden Airport,DRS,EDDC
Erfurt Airport,ERF,EDDE
Frankfurt am Main Airport,FRA,EDDF
Münster Osnabrück Airport,FMO,EDDG
Hamburg Airport,HAM,EDDH
Berlin-Tempelhof International Airport,THF,EDDI
Cologne Bonn Airport,CGN,EDDK
Düsseldorf Airport,DUS,EDDL
Munich Airport,MUC,EDDM
Nuremberg Airport,NUE,EDDN
Leipzig/Halle Airport,LEJ,EDDP
Saarbrücken Airport,SCN,EDDR
Stuttgart Airport,STR,EDDS
Berlin-Tegel Airport,TXL,EDDT
Hannover Airport,HAJ,EDDV
Bremen Airport,BRE,EDDW
Frankfurt-Egelsbach Airport,QEF,EDFE
Frankfurt-Hahn Airport,HHN,EDFH
Mannheim-City Airport,MHG,EDFM
Allendorf/Eder Airport,\N,EDFQ
Worms Airport,\N,EDFV
Mainz-Finthen Airport,\N,EDFZ
Eisenach-Kindel Airport,EIB,EDGE
Siegerland Airport,SGE,EDGS
Hamburg-Finkenwerder Airport,XFW,EDHI
Kiel-Holtenau Airport,KEL,EDHK
Lübeck Blankensee Airport,LBC,EDHL
Flugplatz Dahlemer Binz,\N,EDKV
Meinerzhagen Airport,\N,EDKZ
Arnsberg-Menden Airport,\N,EDLA
Essen Mulheim Airport,ESS,EDLE
Bielefeld Airport,BFE,EDLI
Mönchengladbach Airport,MGL,EDLN
Paderborn Lippstadt Airport,PAD,EDLP
Stadtlohn-Vreden Airport,\N,EDLS
Dortmund Airport,DTM,EDLW
Augsburg Airport,AGB,EDMA
Biberach a.d. Riß Airfield,\N,EDMB
Eggenfelden Airport,\N,EDME
Mindelheim-Mattsies Airfield,\N,EDMN
Oberpfaffenhofen Airport,OBF,EDMO
Straubing Airport,RBM,EDMS
Vilshofen Airport,\N,EDMV
Leutkirch-Unterzeil Airport,\N,EDNL
Friedrichshafen Airport,FDH,EDNY
Schwerin Parchim Airport,SZW,EDOP
Stendal-Borstel Airport,\N,EDOV
Aalen-Heidenheim/Elchingen Airport,\N,EDPA
Bayreuth Airport,BYU,EDQD
Burg Feuerstein Airport,URD,EDQE
Hof-Plauen Airport,HOQ,EDQM
Haßfurt-Schweinfurt Airport,\N,EDQT
Koblenz-Winningen Airfield,\N,EDRK
Trier-Föhren Airport,\N,EDRT
Speyer Airfield,\N,EDRY
Zweibrücken Airport,ZQW,EDRZ
Donaueschingen-Villingen Airport,ZQL,EDTD
Freiburg i. Br. Airport,\N,EDTF
Mengen-Hohentengen Airport,\N,EDTM
Adolf Würth Airport,\N,EDTY
Finsterwalde/Schacksdorf Airport,\N,EDUS
Braunschweig-Wolfsburg Airport,BWE,EDVE
Kassel-Calden Airport,KSF,EDVK
Hildesheim Airport,\N,EDVM
Bremerhaven Airport,BRV,EDWB
Emden Airport,EME,EDWE
Leer-Papenburg Airport,\N,EDWF
Wilhelmshaven-Mariensiel Airport,WVN,EDWI
Borkum Airport,BMK,EDWR
Norderney Airport,NRD,EDWY
Flensburg-Schäferhaus Airport,FLF,EDXF
Rendsburg-Schachtholm Airport,\N,EDXR
Westerland Sylt Airport,GWT,EDXW
Ämari Air Base,\N,EEEI
Kärdla Airport,KDL,EEKA
Kuressaare Airport,URE,EEKE
Pärnu Airport,EPU,EEPU
Lennart Meri Tallinn Airport,TLL,EETN
Tartu Airport,TAY,EETU
Enontekio Airport,ENF,EFET
Eura Airport,\N,EFEU
Halli Airport,KEV,EFHA
Helsinki Malmi Airport,HEM,EFHF
Helsinki Vantaa Airport,HEL,EFHK
Hameenkyro Airport,\N,EFHM
Hanko Airport,\N,EFHN
Hyvinkää Airfield,HYV,EFHV
Kiikala Airport,\N,EFIK
Immola Airport,\N,EFIM
Kitee Airport,KTQ,EFIT
Ivalo Airport,IVL,EFIV
Joensuu Airport,JOE,EFJO
Jyvaskyla Airport,JYV,EFJY
Kauhava Airport,KAU,EFKA
Kemi-Tornio Airport,KEM,EFKE
Kajaani Airport,KAJ,EFKI
Kauhajoki Airport,KHJ,EFKJ
Kokkola-Pietarsaari Airport,KOK,EFKK
Kemijarvi Airport,\N,EFKM
Kuusamo Airport,KAO,EFKS
Kittilä Airport,KTT,EFKT
Kuopio Airport,KUO,EFKU
Lahti Vesivehmaa Airport,QLF,EFLA
Lappeenranta Airport,LPP,EFLP
Mariehamn Airport,MHQ,EFMA
Menkijarvi Airport,\N,EFME
Mikkeli Airport,MIK,EFMI
Nummela Airport,\N,EFNU
Oulu Airport,OUL,EFOU
Piikajarvi Airport,\N,EFPI
Pori Airport,POR,EFPO
Pudasjärvi Airport,\N,EFPU
Pyhäsalmi Airport,\N,EFPY
Raahe Pattijoki Airport,\N,EFRH
Rantasalmi Airport,\N,EFRN
Rovaniemi Airport,RVN,EFRO
Rayskala Airport,\N,EFRY
Savonlinna Airport,SVL,EFSA
Selanpaa Airport,\N,EFSE
Sodankyla Airport,SOT,EFSO
Tampere-Pirkkala Airport,TMP,EFTP
Teisko Airport,\N,EFTS
Turku Airport,TKU,EFTU
Utti Air Base,UTI,EFUT
